meshes/actors/character/character assets/hair/maleredguardhair04_hairline.nif	Vertex Weights x6, Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair06b.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair07a.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/hair/maleredguardhair07b.nif	Num Bones x1, Bones x1, Hair Tint Color x1
meshes/actors/character/character assets/malehands_1.nif	Weight x8, Vertex Desc x3, Num Vertices x2, Vertex Weights x2, Translation x1, Data Size x1
meshes/actors/character/character assets/maletailargonian.nif	Vertex Desc x3, Data Size x1, Vertex Size x1, Skin Tint Color x1
meshes/actors/character/character assets/mouth/mouthhuman.nif	Rotation x1, Num Bones x1, Bones x1
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000282d.nif	Triangles x2486, Triangles Copy x2486, Index x558, Weight x309, Vertex Weights x188, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00003361.nif	Triangles x2347, Triangles Copy x2347, Index x1319, Weight x361, Vertex Weights x170, Num Bones x12
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00003365.nif	Triangles x2491, Triangles Copy x2491, Index x452, Vertex Weights x437, Weight x284, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00004208.nif	Triangles x2231, Triangles Copy x2231, Index x1361, Weight x391, Vertex Weights x170, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000b552.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Vertex Desc x5
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000b555.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Vertex Desc x5
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000b558.nif	Triangles x1671, Triangles Copy x1671, Index x936, Weight x218, Vertex Weights x170, Vertex Desc x5
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000cadf.nif	Triangles x1685, Triangles Copy x1685, Index x113, Weight x110, Vertex Weights x66, Num Bones x7
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000cfbd.nif	Triangles x2483, Triangles Copy x2483, Index x1655, Weight x900, Vertex Weights x529, Vertex Desc x8
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0000e889.nif	Triangles x2233, Triangles Copy x2233, Index x1278, Weight x334, Vertex Weights x250, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00010ded.nif	Triangles x1841, Triangles Copy x1841, Index x1060, Weight x262, Vertex Weights x194, Num Bones x11
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014210.nif	Triangles x2211, Triangles Copy x2211, Index x1272, Weight x327, Vertex Weights x246, Num Bones x10
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014220.nif	Triangles x2476, Triangles Copy x2476, Index x1768, Weight x538, Vertex Weights x194, Num Bones x13
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014224.nif	Triangles x2878, Triangles Copy x2878, Index x1909, Weight x610, Vertex Weights x398, Num Bones x11
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001422b.nif	Triangles x1868, Triangles Copy x1868, Index x231, Weight x137, Vertex Weights x106, Num Bones x9
meshes/actors/character/facegendata/facegeom/dawnguard.esm/00014259.nif	Triangles x2335, Triangles Copy x2335, Index x1294, Weight x320, Vertex Weights x170, Num Bones x12
meshes/actors/character/facegendata/facegeom/dawnguard.esm/0001425e.nif	Triangles x2578, Triangles Copy x2578, Index x1190, Weight x415, Vertex Weights x318, Num Bones x9
