archive	path	shape	source	rebuilt	lost
Skyrim - Meshes0.bsa	meshes/dlc02/dungeons/dwemer/animated/dlc2dwecontrolcube02/dlc2dwecontrolcube02.nif	DLC2CubeCenter:0	8062	7596	466
Skyrim - Meshes0.bsa	meshes/dungeons/imperial/clutterkits/impfireplace01.nif	ImpFireplace01:5	8583	8117	466
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	WHIntWoodRoofLeft04:11	1920	1460	460
Skyrim - Meshes0.bsa	meshes/dungeons/ship/shiplargekatariahinside01.nif	ShipLargeKatariahInside01:15	10012	9553	459
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	WHIntWoodRoofLeft08:11	1916	1460	456
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/interiorkits/wood/whintinn01.nif	WHIntWoodRoofLeft02:11	1916	1460	456
Skyrim - Meshes0.bsa	meshes/architecture/solitude/sthalmorhouse.nif	SThalmorHouseMESH:7	9564	9109	455
Skyrim - Meshes0.bsa	meshes/architecture/sovengarde/sovngardeinterior/sovbenchlong01.nif	SOVBenchLong01:4	3364	2911	453
Skyrim - Meshes0.bsa	meshes/architecture/riften/rthaelgasbunkhouse01.nif	RTHaelgasBunkhouse01:2	1705	1255	450
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/whpalace4.nif	WHpalace4:38	2640	2194	446
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/dlc1house/dlc1byohwrhub1stflwall01.nif	DLC1BYOHWRhub1stFLWall01:10	1854	1409	445
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrbuildings/wrtempleofk01.nif	WRTempleOfK01:1 - L2_TempleParts:1	16314	15872	442
Skyrim - Meshes0.bsa	meshes/dungeons/nordic/exterior/norlabyrinthianmaze03.nif	NorLabyrinthianMaze03:3	733	293	440
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindhelmvalens.nif	tempwindhelmvalens:17	9234	8796	438
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstemplefacade01.nif	SERuinsTempleFacade01:6	1242	804	438
Skyrim - Meshes0.bsa	meshes/architecture/whiterun/wrinteriors/wrtemple/wrtempintpromshadowmask01.nif	WRTempIntPromShadowMask01:36	1462	1029	433
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/seruinstemplefacade02.nif	SERuinsTempleFacade02:6	1186	755	431
Skyrim - Meshes0.bsa	meshes/architecture/windhelm/tempassets/tempwindpalace.nif	tempwindpalace:33	27802	27372	430
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwaybarrel/riftenrwroombendcapdoor01.nif	RiftenRWRoomBEndCapDoor01:10	1138	708	430
Skyrim - Meshes0.bsa	meshes/dungeons/riften/ratwaybarrel/riftenrwroombendcapshortdoor01.nif	RiftenRWRoomBEndCapShortDoor01:10	946	516	430
Skyrim - Meshes0.bsa	meshes/architecture/riften/rtmjollandtroutpurse01.nif	RTMjollandTroutPurse01:1	6162	5733	429
Skyrim - Meshes1.bsa	meshes/_byoh/architecture/byohhouse/byohbyohwrtowerlint01.nif	BYOHBYOHWRtowerLINT01:38	9173	8746	427
Skyrim - Meshes0.bsa	meshes/architecture/solitude/sthalmorhouse.nif	SThalmorHouseMESH:2	3260	2833	427
Skyrim - Meshes0.bsa	meshes/dlc01/architecture/snowelfruins/interior/seruinshallbg2way01.nif	SERuinsHallBg2Way01:1	1619	1196	423
